Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Average MPG
1.0,0.062367864693446094,0.25,0.75,1.0,0.8985507246376812,1.0,1.0,22.5
1.0,0.062367864693446094,0.25,0.25,1.0,0.8985507246376812,1.0,1.0,20.5
1.0,0.062367864693446094,0.25,0.75,1.0,0.8985507246376812,1.0,0.9333333333333333,22.5
1.0,0.062367864693446094,0.25,0.75,1.0,0.8985507246376812,1.0,1.0,21.5
1.0,0.04756871035940804,0.25,0.75,0.6666666666666666,0.7101449275362319,0.0,0.13333333333333333,32.0
1.0,0.04756871035940804,0.25,0.25,0.6666666666666666,0.7101449275362319,0.0,0.13333333333333333,31.0
1.0,0.04756871035940804,0.25,0.75,0.6666666666666666,0.7101449275362319,0.0,0.13333333333333333,32.0
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8115942028985508,1.0,0.13333333333333333,27.5
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8115942028985508,1.0,0.13333333333333333,28.0
0.8571428571428571,0.258985200845666,0.375,0.25,0.0,0.8405797101449275,1.0,0.13333333333333333,25.0
0.8571428571428571,0.28012684989429176,0.375,0.25,0.0,0.8405797101449275,1.0,0.13333333333333333,25.0
0.8571428571428571,0.20401691331923894,0.25,0.25,0.0,0.8115942028985508,1.0,0.13333333333333333,28.0
0.8571428571428571,0.19661733615221988,0.25,0.25,0.0,0.8985507246376812,1.0,1.0,27.5
0.8571428571428571,0.2959830866807611,0.375,0.25,1.0,0.927536231884058,1.0,0.9333333333333333,29.0
0.8571428571428571,0.19556025369978858,0.25,0.25,1.0,0.9565217391304348,1.0,0.9333333333333333,29.0
0.8571428571428571,0.258985200845666,0.375,0.25,1.0,0.9130434782608696,1.0,0.9333333333333333,26.5
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8985507246376812,1.0,0.9333333333333333,27.5
0.8571428571428571,0.13213530655391123,0.25,0.25,0.0,0.8985507246376812,1.0,0.9333333333333333,29.0
0.8571428571428571,0.258985200845666,0.375,0.25,0.0,0.9565217391304348,1.0,0.9333333333333333,25.0
0.8571428571428571,0.13213530655391123,0.25,0.25,1.0,0.8985507246376812,1.0,0.9333333333333333,30.0
0.8571428571428571,0.28012684989429176,0.375,0.25,0.0,0.9130434782608696,1.0,0.9333333333333333,27.5
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8985507246376812,1.0,0.9333333333333333,28.0
0.8571428571428571,0.19556025369978858,0.25,0.75,1.0,0.9565217391304348,1.0,0.9333333333333333,28.0
0.8571428571428571,0.19556025369978858,0.25,0.25,0.0,0.8985507246376812,1.0,1.0,28.0
0.8571428571428571,0.28012684989429176,0.375,0.25,1.0,0.9130434782608696,1.0,0.9333333333333333,27.5
0.7142857142857142,0.20401691331923894,0.25,0.25,1.0,0.9565217391304348,1.0,0.9333333333333333,28.5
0.7142857142857142,0.13213530655391123,0.25,0.25,1.0,0.8985507246376812,1.0,0.9333333333333333,29.0
0.7142857142857142,0.20401691331923894,0.25,0.25,0.0,0.8985507246376812,1.0,0.9333333333333333,28.0
0.7142857142857142,0.28012684989429176,0.375,0.25,0.0,0.9565217391304348,1.0,0.9333333333333333,26.0
